type,place,state
Beaches,Batu Ferringhi,Malaysia
Beaches,Port Dickson,Malaysia
Historical structures and buildings,A Famosa,Malaysia
Historical structures and buildings,Christ Church Malacca,Malaysia
Historical structures and buildings,Church of the Immaculate Conception,Malaysia
Historical structures and buildings,Stadthuys,Malaysia
Historical structures and buildings,Sultan Abdul Samad Building,Malaysia
Islands,Besar Islands,Malaysia
Islands,Langkawi Islands,Malaysia
Islands,Pangkor Islands,Malaysia
Islands,Tioman Islands,Malaysia
Nature,Bario,Malaysia
Nature,Cameron Highlands,Malaysia
Nature,Endau-Rompin National Park,Malaysia
Nature,Kenyir Lake,Malaysia
Nature,Long Pasia,Malaysia
Nature,Tempurung Cave,Malaysia
Resorts,Bukit Tinggi,Malaysia
Resorts,Genting Highlands,Malaysia
Resorts,Datai,Malaysia
Shopping districts,Bukit Bintang,Malaysia
Shopping districts,Gurney Drive,Malaysia
Shopping districts,Petaling Street,Malaysia
Skyscrapers,Merdeka 118,Malaysia
Skyscrapers,Petronas Twin Towers,Malaysia
Skyscrapers,The Exchange 106,Malaysia
Skyscrapers,KOMTAR Penang,Malaysia
Towers,Kuala Lumpur Tower,Malaysia
Towers,Kuantan 188,Malaysia
Towers,Alor Setar Tower,Malaysia
Towers,MAHA Tower Langkawi,Malaysia
Towers,Taming Sari Tower,Malaysia
Towers,Leaning Tower of Teluk Intan,Malaysia
Sports,Johor Circuit,Malaysia
Sports,National Sports Complex,Malaysia
Sports,Sepang International Circuit,Malaysia
Theme parks,A' Famosa Resort,Malaysia
Theme parks,Berjaya Times Square Theme Park,Malaysia
Theme parks,Legoland Malaysia Resort,Malaysia
Theme parks,Melaka Wonderland,Malaysia
Theme parks,Sunway Lagoon,Malaysia
Theme parks,Tropical Village,Malaysia
Theme parks,Movie Animation Park Studios,Malaysia
Transportations,Awana Skyway,Malaysia
Transportations,Genting Skyway,Malaysia
Transportations,Langkawi Cable Car,Malaysia
Transportations,Penang Hill Railway,Malaysia
Zoos,Johor Zoo,Malaysia
Zoos,Melaka Zoo,Malaysia
Zoos,National Zoo,Malaysia
Zoos,Taiping Zoo,Malaysia
Bird Parks,Kuala Lumpur Bird Park,Malaysia
Museums,Museum of Royal Traditions and Customs Istana Jahar,Kelantan
Museums,Istana Batu Royal Museum,Kelantan
Museums,Kelantan Islamic Museum,Kelantan
Museums,Kelantan Museum,Kelantan
Religious places,Kampung Laut Mosque,Kelantan
Religious places,Sultan Ismail Petra Silver Jubilee Mosque,Kelantan
Religious places,Wat Machimmaram,Kelantan
Religious places,Wat Phothivihan,Kelantan
Religious places,Wat Uttamaram,Kelantan
Religious places,Masjid Muhammadi,Kelantan
Shopping centers,Siti Khadijah Market,Kelantan
Sport venues,Sultan Mohammad IV Stadium,Kelantan
Chinese temple,Chin Swee Caves Temple,Pahang
Hindu temple,Sri Marathandavar Bala Dhandayuthapani Alayam,Pahang
Mosque,Abu Bakar Royal Mosque,Pahang
Mosque,Mohammad Noah Foundation Mosque,Pahang
Mosque,Sultan Ahmad Shah State Mosque,Pahang
Mosque,Tengku Ampuan Afzan Mosque,Pahang
Theme parks and resorts,Berjaya Hills Resort,Pahang
Theme parks and resorts,Genting Highlands,Pahang
Mosque,Kedah State Mosque,Kedah
Temple,Wat Nikrodharam,Kedah
Buddhist temples,Xiang Lin Si Temple,Malacca
Chinese temples,Cheng Hoon Teng Temple,Malacca
Chinese temples,Poh San Teng Temple,Malacca
Churches,Christ Church,Malacca
Churches,St. Francis Xavier's Church,Malacca
Churches,St. Peter's Church,Malacca
Churches,Tamil Methodist Church,Malacca
Hindu temples,Sri Poyatha Moorthi Temple,Malacca
Hindu temples,"Dewi Sri Maha Mariamman (Kutharai Kovil) Temple, Cheng Melaka",Malacca
Mosques,Kampung Hulu Mosque,Malacca
Mosques,Kampung Kling Mosque,Malacca
Mosques,Melaka Chinese Mosque,Malacca
Mosques,Malacca State Mosque,Malacca
Mosques,Malacca Straits Mosque,Malacca
Mosques,Tranquerah Mosque,Malacca
Galleries,Tuanku Ja'afar Royal Gallery,Negeri Sembilan
Memorials,Nilai Memorial Park,Negeri Sembilan
Museums,Custom Museum,Negeri Sembilan
Nature,Port Dickson,Negeri Sembilan
Sport centres,Tuanku Abdul Rahman Stadium,Negeri Sembilan
Buddhist temples,Sasanarakkha Buddhist Sanctuary,Perak
Buddhist temples,Sukhavana Meditation Monastery,Perak
Chinese temples,Sam Poh Tong Temple,Perak
Chinese temples,Kek Look Seah Temple,Perak
Church,All Saints' Church,Perak
Church,Wesley Methodist Church,Perak
Hindu temple,Arulmigu Maha Muthu Mariamman Thevasthanam,Perak
Mosque,Sultan Idris Shah II Mosque,Perak
Mosque,Ubudiah Mosque,Perak
Buddhist temples,Buddhist Maha Vihara,Kuala Lumpur
Chinese temples,Sin Sze Si Ya Temple,Kuala Lumpur
Chinese temples,Thean Hou Temple,Kuala Lumpur
Churches,St. John's Cathedral,Kuala Lumpur
Churches,St. Mary's Cathedral,Kuala Lumpur
